src,date,rating,title,text
ios,2025-10-30,5,아주 혁신적인 렌터카 앱!,여행다니면서 자차 끌고 다니기 힘들어서 주로 렌트카 이용하는데요. 여기서 만큼 가격비교 확실한 앱은 없는 것 같아서 꾸준히 이용중입니다!
ios,2026-03-06,5,카모아 저렴해요,"카모아로 할인받고 추천받아 렌트카 잘이용하였습니다 그런게 완전자차를 예약하고 갔는데 업체에서 완전자차가 아니라며 추가비용으을 만원받더군요
기준이 다르다는데 전 이해가 좀 안되었네요"
ios,2025-11-16,1,만족했었는데 이제는 다시는 쓰지않을렵니다.,"학교와 집에 거리가 멀어 주에 5일을 매주 빌렸었고 처음은 고물차를 줘서 바로 전화 드렸는데 바로 차를 바꿔주시고 차 업그레이드도 해주셔서 주마다 계속 이용을 하였습니다 기존 픽업시간보다 더 일찍 장소에 가져다주신 것도 좋았지만 주정차 고지서가 2장이나 날라오더라구요 심지어 찍히고 2달 더 지나서 왔어요 연락해도 받지도 않으시고 뭐 유료주차장, 건물내 주차장 다 안 된다해서 차들 많은 갓길에 세워둔 거까지는 이해합니다만 픽업전에 찍힌 것과 반납하고 다음날 찍힌 거까지 저희가 내야하는지 모르겠습니다 처음에는 기분좋게 차를 썼지만 앞으로는 이용하지 않을 겁니다"
ios,2025-10-30,5,편하게여행갓다왓어요 ㅎㅎ,"차량 상태도 깨끗하고 정비가 잘 되어 있어서 장거리 운전에도 불안함이 없었어요.
연비도 좋아서 기름값 부담 없이 편하게 다녀왔답니다.
덕분에 여행 일정이 훨씬 즐겁고 편했어요. 다음에도 꼭 다시 이용하고 싶어요"
ios,2025-10-30,5,굿,"앱 속도도 빠르고 상세하게
잘 되어있는것 같아요. 월렌트가 궁금해서 찾아봤는데. 월 뿐만 아니라 개월수별로 달라지는 금액 등 보기 쉬웠지만, 종합보험 관련 면책금이 없는지 써있지는
않아서 궁금했어요. 교묘하게 속여놓은 업체들이 많아서요ㅠㅠ"
ios,2025-10-30,5,역시 카모아,"카모아 앱은 여러 렌트카 업체의 가격과 조건을 한 번에 비교하고, 쉽고 빠르게 예약할 수 있는 점이 가장 큰 장점입니다. 제주도를 비롯한 전국과 해외까지 예약이 가능하고, 각종 쿠폰과 포인트, 실시간 최저가 보장 서비스가 제공되어 경제적으로 이용할 수 있습니다. 전화상담과 딜리버리, 자차보험 등도 앱에서 바로 신청 가능해 매우 편리합니다. 실제 이용자 리뷰도 만족도가 높고, 친절한 고객응대로 신뢰감이 있습니다. 앞으로도 렌트카 예약할 때 카모아를 계속 사용할 계획입니다"
android,2026-08-26,5,,사고가 없어서 사용되진 않았지만 자차 플러스가 꽤 좋은 정책인 듯합니다.
android,2026-06-24,1,,육안으로 구분하기 힘든 기스로 최소20~50만원까지 뜯어가고 반납시에 손님들 비행기 시간으로 인해촉박한것과 이성적 생각을 할 수 없게 사실확인 여부보다는 사고나셨네요 라며 유죄추정의법칙?ㅋㅋㅋ으로 이야기하고 손님이 이성적인 반론에도 걍 니가 잘못한거임 근데 무슨 말대답이냐식의 대화와 본인이 잘못한것이 없다고 주장하는 손님에게 지불각서를 무조건 써야한다는 것처럼 분위기를 잡고 혹여 민사 소송으로 갔을 때 유리한 위치를 고수하려는 행동과(지불각서 작성시 법정에서 과실 인정으로 볼 수 있음) 니가 잘못이 없다고 하지만 결국 니가 찍은 영상 사진에는 기스 안보여~독소 조항있지만 우리는 미리 고지했어~ 반협박에 가까운 지금 합의점으로 몇십주고 끝내던지 싫으면 우린 가장비싼 거래처에서 전체 수리 마낄꺼야 아 근데 지금 수리 넣으면 주말끼어서 오래걸리지 않나?등등. 법적으로 잘 모르는 손님들의 취약부분을 노리는 악질적인 업체가 많습니다. 이용하기 전에 꼭 카모아 최저점 리뷰 확인하고 네이버도보셈
android,2026-05-25,5,,"타지역으로 여행할때 자차보다는 렌트를 많이 이용하는데요 이곳저곳 비교하기 쉽고 비대면, 차량도 있는 곳까지 가져다줘서 너무 편하게 잘 이용하고 있습니다 지금까지는 렌트만 이용했지만 호텔이나, 리조트등 숙박에 좀 더 많은 업체가 올라오면 같이 이용할 의사도 있습니다 암튼 렌트는 카모아 만족입니다"
android,2026-05-24,5,,앱사용 자주하는데 서비스도 좋고 무엇보다 싼가격대에 쉽게 빌릴수있다는 점이에요 보험도 싸고 할때 풀로 보험들어놓고 호텔도 연계된곳 이용하면 할인도 되어서 좋더라고요 파손보험도 저렴하게 이용도 가능하니 저에게는 딱좋은것같아요
android,2026-03-21,5,,"차량상태나 서비스는 좋았는데, 연료는 가득 채워 받고 가득 채워 반납하는 것이 더 좋을 듯 합니다."
android,2026-03-06,1,,"여기 이용하실 분들 진짜 조심하세요. 분면 예약할 때 면책 보험 다 포함해서 결제 끝내고 갔거든요? 근데 막상 도착하니까 업체 직원이 전산에 보험 안 떠 있어서 ​결국 현장에서 보험료 또 내고 이중으로 결제했습니다. 여행 기분 망치기 싫어서 일단 긁긴 했는데, 집에 와서 확인해봐도 제 예약 내역엔 분명히 보험 포함이라고 되어 있네요. ​이용하실 분들은 예약 확정서 꼭 폰에 저장해 가시거나 종이로 뽑아 가세요.저는 너무 불쾌해서 다신 여기 이용 안 하려고요."
android,2026-02-23,5,,국내 해외 자차 보험 면제 옵션이 별도로 있어서 더 안심하고 대여 했습니다.
android,2026-01-28,5,,진짜 편리하고 좋은 어플인거같습니다 차량비교도 잘되고 리뷰도 확실하고 더군다나 카모아 자차플러스로 사고시 모든보장을 해주시는게 좋습니다
android,2025-10-31,5,,"카모아 앱 덕분에 제주 여행을 더욱 편하게 즐길 수 있었어요. 여러 렌트카 업체의 가격과 후기를 한 번에 비교할 수 있어서 고민할 필요가 없더라고요. 예약 과정도 직관적이고, 자차보험이나 딜리버리 옵션 신청까지 앱에서 한 번에 해결해 주니 정말 편리합니다. 차량 종류도 다양하게 선택할 수 있고, 실제 이용자들의 리뷰가 많아 신뢰감이 더욱 높아요. 앞으로 국내 여행 때도 렌트는 무조건 카모아 앱으로 할 생각입니다.이처럼 카모아 앱은 가격 비교, 후기, 예약 편의, 다양한 옵션 등이 강점으로 꼽히는 렌트카 앱입니다."
android,2025-10-31,5,,제주도 여행시 렌트카 비교하다가 알게됨요 아주유용한어플입니다 12월에 해외가는데 또 이용해봐야겠어요~~~
